paper,Year,Game,Productivity,Media Consumption,Utilitarian,Other,Social,"Health, Nutrition, and Medical",Photography
What Aspects Do Non-Functional Requirements in App User Reviews Describe? An Exploratory and Comparative Study,2018,0,0,1,0,0,1,0,0
What People Like in Mobile Finance Apps: An Analysis of User Reviews,2018,0,0,0,1,0,0,0,0
An empirical study of game reviews on the Steam platform,2019,1,0,0,0,0,0,0,0
"Dating with Scambots: Understanding the
Ecosystem of Fraudulent Dating Applications",2019,0,0,0,0,0,1,0,0
Finding and Analyzing App Reviews Related to Specific Features: A Research Preview,2019,0,0,0,1,0,0,0,0
Gender and user feedback: An exploratory study,2019,0,0,0,1,1,1,1,0
Mining non-functional requirements from App store reviews,2019,1,1,1,1,1,0,1,1
"Release Early, Release Often, and Watch Your Users' Emotions: Lessons From Emotional Patterns",2019,1,1,1,1,,1,1,1
RE-SWOT: From User Feedback to Requirements via Competitor Analysis,2019,1,0,0,1,0,1,0,0
Revealing the unrevealed: Mining smartphone users privacy perception on app markets,2019,0,1,1,1,1,0,1,1
"Same App, Different Countries: A Preliminary User Reviews Study on Most Downloaded iOS Apps",2019,0,1,1,1,0,1,0,1
"Short Text, Large Effect: Measuring the Impact of User Reviews on Android App Security & Privacy",2019,1,1,1,1,1,1,1,1
Simplifying the classification of app reviews using only lexical features,2019,1,1,1,1,,1,1,1
Studying the consistency of star ratings and reviews of popular free hybrid Android and iOS apps,2019,1,1,1,1,1,1,1,1
Towards understanding and detecting fake reviews in app stores,2019,1,1,1,1,1,1,1,1
Usability Issues in Mental Health Applications,2019,0,0,0,0,0,0,1,0
When People and Algorithms Meet: User-reported Problems in Intelligent Everyday Applications,2019,0,0,1,1,0,1,0,0
A Semantic-Based Framework for Analyzing App Users' Feedback,2020,0,1,1,1,0,1,0,0
AOBTM: Adaptive Online Biterm Topic Modeling for Version Sensitive Short-texts Analysis,2020,0,1,1,1,0,1,0,0
App Competition Matters: How to Identify Your Competitor Apps?,2020,0,1,1,1,1,1,1,0
App Popularity Prediction by Incorporating Time-Varying Hierarchical Interactions,2020,0,1,1,1,1,1,1,0
Comparing mobile apps by identifying ‘Hot’ features,2020,0,0,0,1,0,1,0,0
Feature Recommendation by Mining Updates and User Feedback from Competitor Apps,2020,0,1,1,1,1,1,1,0
How features in iOS App Store Reviews can Predict Developer Responses,2020,1,0,0,1,1,0,0,0
Identifying and Classifying User Requirements in Online Feedback via Crowdsourcing,2020,1,1,0,0,0,1,0,0
Identifying security issues for mobile applications based on user review summarization,2020,0,1,1,1,1,1,1,1
Insights from user reviews to improve mental health apps,2020,0,0,0,0,0,0,1,0
Learning Features that Predict Developer Responses for iOS App Store Reviews,2020,0,0,0,1,1,1,1,0
Mining User Opinions to Support Requirement Engineering: An Empirical Study,2020,0,1,1,1,0,1,0,1
Same Same but Different: Finding Similar User Feedback Across Multiple Platforms and Languages,2020,0,1,1,1,0,1,0,0
SmartPI: Understanding Permission Implications of Android Apps from User Reviews,2020,1,1,1,1,1,1,1,1
Studying Bad Updates of Top Free-to-Download Apps in the Google Play Store,2020,1,1,1,1,1,1,1,1
Which App is Going to Die? A Framework for App Survival Prediction With Multitask Learning,2020,1,1,1,1,1,1,1,1
Ah-cid: A tool to automatically detect human-centric issues in app reviews,2021,0,0,1,1,1,0,1,0
An Exploratory Analysis of Human-centric Issues in Parking Solutions Using Surveys and Mobile Parking App Reviews,2021,0,0,0,0,1,0,0,0
Automatically Matching Bug Reports With Related App Reviews,2021,0,1,0,1,0,1,0,1
CHAMP: Characterizing Undesired App Behaviors from User Comments Based on Market Policies,2021,1,1,1,1,1,1,1,1
Classifying User Requirements from Online Feedback in Small Dataset Environments using Deep Learning,2021,1,1,0,0,0,1,0,0
Exploiting Natural Language Structures in Software Informal Documentation,2021,1,1,0,1,0,1,0,1
Finding the Needle in a Haystack: On the Automatic Identification of Accessibility User Reviews,2021,1,1,1,1,0,0,1,0
How Should I Improve the UI of My App?: A Study of User Reviews of Popular Apps in the Google Play,2021,1,1,1,1,1,1,1,1
Identifying Key Features from App User Reviews,2021,0,1,1,1,1,1,0,0
Multi-source Heterogeneous User Generated Contents-driven Interactive Estimation of Distribution Algorithms for Personalized Search,2021,1,1,1,1,1,1,1,1
RE-BERT: automatic extraction of software requirements from app reviews using BERT language model,2021,0,1,1,1,0,1,0,1
