paper,year,App Aspects,Issues & Complaints,Software Evolution,Security & Privacy,Undesired Behaviors,User Intention,User Experience,User Requirements,Other
Better Identifying and Addressing Diverse Issues in mHealth and Emerging Apps Using User Reviews,2022,,1,,,,,,,
Demystifying “removed reviews” in iOS app store,2022,,,,,1,,,,
Erasing Labor with Labor: Dark Patterns and Lockstep Behaviors on Google Play,2022,,,,,,,,,1
Hark: A Deep Learning System for Navigating Privacy Feedback at Scale,2022,,,,1,,,,,
Hierarchical Bayesian multi-kernel learning for integrated classification and summarization of app reviews,2022,,,,,,,,,1
Listening to Users' Voice: Automatic Summarization of Helpful App Reviews,2022,,,,,,,,,1
On the Importance of Performing App Analysis Within Peer Groups,2022,1,,,,,,1,,
On the Violation of Honesty in Mobile Apps: Automated Detection and Categories,2022,,,,,1,,,,
Supporting Developers in Addressing Human-centric Issues in Mobile Apps,2022,,,,,,,1,,
Towards Automatically Localizing Function Errors in Mobile Apps with User Reviews,2022,,,,,,,,1,
User Perspectives and Ethical Experiences of Apps for Depression: A Qualitative Analysis of User Reviews,2022,,,,,,,1,,
